Price Date,Modal Price (Rs./Quintal)
2015-10-19,2070.0
2015-10-20,2963.0
2015-10-21,2956.0
2015-10-22,2860.0
2015-10-23,2764.0
2015-10-24,2668.0
2015-10-25,2572.0
2015-10-26,2476.0
2015-10-27,2380.0
2015-10-28,2284.0
2015-10-29,2188.0
2015-10-30,2092.0
2015-10-31,1996.0
2015-11-01,1900.0
2015-11-02,2825.0
2015-11-03,1863.0
2015-11-04,2000.0
2015-11-05,2600.0
2015-11-06,3200.0
2015-11-07,2521.5
2015-11-08,1843.0
2015-11-09,2360.0
2015-11-10,2450.0
2015-11-11,2540.0
2015-11-12,2630.0
2015-11-13,2720.0
2015-11-14,2810.0
2015-11-15,2900.0
2015-11-16,2240.0
2015-11-17,2523.0
2015-11-18,3153.0
2015-11-19,2760.0
2015-11-20,2881.0
2015-11-21,1890.0
2015-11-22,2800.0
2015-11-23,3030.0
2015-11-24,2350.0
2015-11-25,3160.0
2015-11-26,2063.0
2015-11-27,3162.0
2015-11-28,3163.6666666666665
2015-11-29,3165.3333333333335
2015-11-30,3167.0
2015-12-01,2970.0
2015-12-02,2200.0
2015-12-03,3635.0
2015-12-04,2975.0
2015-12-05,3300.0
2015-12-06,3600.0
2015-12-07,2000.0
2015-12-08,3300.0
2015-12-09,1950.0
2015-12-10,2701.0
2015-12-11,2100.0
2015-12-12,2675.0
2015-12-13,2575.0
2015-12-14,2965.0
2015-12-15,2001.0
2015-12-16,2626.0
2015-12-17,3251.0
2015-12-18,3333.0
2015-12-19,3341.5
2015-12-20,3350.0
2015-12-21,3052.0
2015-12-22,3051.0
2015-12-23,3050.0
2015-12-24,2992.3333333333335
2015-12-25,2934.6666666666665
2015-12-26,2877.0
2015-12-27,2000.0
2015-12-28,2515.0
2015-12-29,1975.0
2015-12-30,2100.0
2015-12-31,2300.0
2016-01-01,2700.0
2016-01-02,3050.0
2016-01-03,4151.0
2016-01-04,4000.0
2016-01-05,3035.0
2016-01-06,1970.0
2016-01-07,3001.0
2016-01-08,3000.0
2016-01-09,3065.0
2016-01-10,2165.0
2016-01-11,1943.0
2016-01-12,2425.0
2016-01-13,3285.0
2016-01-14,3586.5
2016-01-15,3888.0
2016-01-16,2425.0
2016-01-17,2612.5
2016-01-18,2800.0
2016-01-19,3015.0
2016-01-20,2972.0
2016-01-21,2929.0
2016-01-22,2886.0
2016-01-23,2843.0
2016-01-24,2800.0
2016-01-25,2628.0
2016-01-26,3294.0
2016-01-27,2700.0
2016-01-28,3063.0
2016-01-29,2150.0
2016-01-30,3100.0
2016-01-31,2885.0
2016-02-01,2760.0
2016-02-02,3061.0
2016-02-03,4151.0
2016-02-04,3980.0
2016-02-05,1969.0
2016-02-06,2863.0
2016-02-07,1963.0
2016-02-08,2173.0
2016-02-09,3273.0
2016-02-10,1960.0
2016-02-11,3045.0
2016-02-12,2203.0
2016-02-13,3985.0
2016-02-14,3051.0
2016-02-15,1940.0
2016-02-16,3063.0
2016-02-17,2670.0
2016-02-18,3051.0
2016-02-19,3980.0
2016-02-20,3946.0
2016-02-21,2600.0
2016-02-22,3093.0
2016-02-23,2720.0
2016-02-24,2760.0
2016-02-25,3050.0
2016-02-26,2800.0
2016-02-27,3101.0
2016-02-28,2965.0
2016-02-29,2200.0
2016-03-01,2990.0
2016-03-02,3870.0
2016-03-03,2150.0
2016-03-04,2125.0
2016-03-05,4087.0
2016-03-06,2431.0
2016-03-07,2580.0
2016-03-08,1950.0
2016-03-09,3101.0
2016-03-10,2099.0
2016-03-11,2099.0
2016-03-12,2636.0
2016-03-13,1993.0
2016-03-14,2415.0
2016-03-15,3306.0
2016-03-16,3700.0
2016-03-17,2475.0
2016-03-18,4000.0
2016-03-19,2613.0
2016-03-20,2572.6666666666665
2016-03-21,2532.3333333333335
2016-03-22,2492.0
2016-03-23,2451.6666666666665
2016-03-24,2411.3333333333335
2016-03-25,2371.0
2016-03-26,2330.6666666666665
2016-03-27,2290.3333333333335
2016-03-28,2250.0
2016-03-29,3851.0
2016-03-30,2000.0
2016-03-31,3004.0
2016-04-01,2310.0
2016-04-02,3000.0
2016-04-03,2501.0
2016-04-04,2770.0
2016-04-05,3170.0
2016-04-06,2003.0
2016-04-07,1880.0
2016-04-08,3051.0
2016-04-09,3000.0
2016-04-10,2910.0
2016-04-11,2820.0
2016-04-12,2430.0
2016-04-13,3051.0
2016-04-14,1960.0
2016-04-15,3308.0
2016-04-16,3141.0
2016-04-17,2607.0
2016-04-18,2796.0
2016-04-19,2781.1428571428573
2016-04-20,2766.285714285714
2016-04-21,2751.4285714285716
2016-04-22,2736.5714285714284
2016-04-23,2721.714285714286
2016-04-24,2706.8571428571427
2016-04-25,2692.0
2016-04-26,2677.1428571428573
2016-04-27,2662.285714285714
2016-04-28,2647.4285714285716
2016-04-29,2632.5714285714284
2016-04-30,2617.714285714286
2016-05-01,2602.8571428571427
2016-05-02,2588.0
2016-05-03,2573.1428571428573
2016-05-04,2558.285714285714
2016-05-05,2543.4285714285716
2016-05-06,2528.5714285714284
2016-05-07,2513.714285714286
2016-05-08,2498.8571428571427
2016-05-09,2484.0
2016-05-10,2469.142857142857
2016-05-11,2454.285714285714
2016-05-12,2439.4285714285716
2016-05-13,2424.5714285714284
2016-05-14,2409.714285714286
2016-05-15,2394.8571428571427
2016-05-16,2380.0
2016-05-17,2294.0
2016-05-18,3653.0
2016-05-19,2853.0
2016-05-20,2500.0
2016-05-21,2270.0
2016-05-22,2930.0
2016-05-23,4351.0
2016-05-24,2763.0
2016-05-25,2107.0
2016-05-26,2763.0
2016-05-27,2762.3333333333335
2016-05-28,2761.6666666666665
