Price Date,Modal Price (Rs./Quintal)
2012-06-13,2900.0
2012-06-14,2900.0
2012-06-15,2900.0
2012-06-16,2900.0
2012-06-17,2900.0
2012-06-18,2900.0
2012-06-19,2900.0
2012-06-20,2900.0
2012-06-21,2900.0
2012-06-22,2900.0
2012-06-23,2900.0
2012-06-24,2900.0
2012-06-25,2900.0
2012-06-26,2900.0
2012-06-27,2900.0
2012-06-28,2900.0
2012-06-29,2900.0
2012-06-30,2900.0
2012-07-01,2900.0
2012-07-02,2900.0
2012-07-03,2900.0
2012-07-04,2900.0
2012-07-05,2900.0
2012-07-06,2900.0
2012-07-07,2900.0
2012-07-08,2900.0
2012-07-09,2900.0
2012-07-10,2900.0
2012-07-11,2900.0
2012-07-12,2900.0
2012-07-13,2900.0
2012-07-14,2900.0
2012-07-15,2900.0
2012-07-16,2900.0
2012-07-17,2900.0
2012-07-18,2900.0
2012-07-19,2900.0
2012-07-20,2900.0
2012-07-21,2900.0
2012-07-22,2900.0
2012-07-23,2900.0
2012-07-24,2900.0
2012-07-25,2900.0
2012-07-26,2900.0
2012-07-27,2612.5
2012-07-28,2325.0
2012-07-29,2037.5
2012-07-30,1750.0
2012-07-31,1850.0
2012-08-01,1950.0
2012-08-02,2050.0
2012-08-03,2025.0
2012-08-04,2000.0
2012-08-05,1975.0
2012-08-06,1950.0
2012-08-07,1950.0
2012-08-08,1950.0
2012-08-09,1950.0
2012-08-10,2187.5
2012-08-11,2425.0
2012-08-12,2662.5
2012-08-13,2900.0
2012-08-14,2950.0
2012-08-15,3000.0
2012-08-16,3050.0
2012-08-17,2892.8571428571427
2012-08-18,2735.714285714286
2012-08-19,2578.5714285714284
2012-08-20,2421.4285714285716
2012-08-21,2264.285714285714
2012-08-22,2107.142857142857
2012-08-23,1950.0
2012-08-24,2190.0
2012-08-25,2430.0
2012-08-26,2670.0
2012-08-27,2910.0
2012-08-28,3150.0
2012-08-29,3150.0
2012-08-30,3150.0
2012-08-31,3150.0
2012-09-01,3150.0
2012-09-02,3150.0
2012-09-03,3150.0
2012-09-04,3150.0
2012-09-05,3150.0
2012-09-06,3150.0
2012-09-07,3150.0
2012-09-08,3150.0
2012-09-09,3150.0
2012-09-10,3150.0
2012-09-11,3150.0
2012-09-12,3150.0
2012-09-13,3150.0
2012-09-14,3150.0
2012-09-15,3150.0
2012-09-16,3150.0
2012-09-17,3150.0
2012-09-18,3150.0
2012-09-19,3150.0
2012-09-20,3150.0
2012-09-21,3150.0
2012-09-22,3150.0
2012-09-23,3150.0
2012-09-24,3150.0
2012-09-25,3150.0
2012-09-26,3150.0
2012-09-27,3150.0
2012-09-28,3150.0
2012-09-29,3150.0
2012-09-30,3150.0
2012-10-01,3150.0
2012-10-02,2816.6666666666665
2012-10-03,2483.3333333333335
2012-10-04,2150.0
2012-10-05,2400.0
2012-10-06,2650.0
2012-10-07,2900.0
2012-10-08,3150.0
2012-10-09,2816.6666666666665
2012-10-10,2483.3333333333335
2012-10-11,2150.0
2012-10-12,2150.0
2012-10-13,2150.0
2012-10-14,2150.0
2012-10-15,2150.0
2012-10-16,2483.3333333333335
2012-10-17,2816.6666666666665
2012-10-18,3150.0
2012-10-19,3087.5
2012-10-20,3025.0
2012-10-21,2962.5
2012-10-22,2900.0
2012-10-23,2900.0
2012-10-24,2900.0
2012-10-25,2900.0
2012-10-26,2712.5
2012-10-27,2525.0
2012-10-28,2337.5
2012-10-29,2150.0
2012-10-30,2066.6666666666665
2012-10-31,1983.3333333333333
2012-11-01,1900.0
2012-11-02,2150.0
2012-11-03,2400.0
2012-11-04,2650.0
2012-11-05,2900.0
2012-11-06,2933.3333333333335
2012-11-07,2966.6666666666665
2012-11-08,3000.0
2012-11-09,3000.0
2012-11-10,3000.0
2012-11-11,3000.0
2012-11-12,3000.0
2012-11-13,3000.0
2012-11-14,3000.0
2012-11-15,3000.0
2012-11-16,3000.0
2012-11-17,3000.0
2012-11-18,3000.0
2012-11-19,3000.0
2012-11-20,2783.3333333333335
