Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
3845,3845,3845,01 Jul 2023
4850,4850,4850,30 Jun 2023
3900,3900,3900,29 Jun 2023
3505,3505,3505,28 Jun 2023
4413,4413,4413,27 Jun 2023
4275,4275,4275,26 Jun 2023
5500,5500,5500,25 Jun 2023
3775,3775,3775,24 Jun 2023
3575,3575,3575,23 Jun 2023
3905,3905,3905,22 Jun 2023
4850,4850,4850,21 Jun 2023
3900,3900,3900,20 Jun 2023
4120,4120,4120,19 Jun 2023
4801,4801,4801,18 Jun 2023
3710,3710,3710,17 Jun 2023
3505,3505,3505,16 Jun 2023
4400,4400,4400,15 Jun 2023
3401,3401,3401,14 Jun 2023
3225,3225,3225,13 Jun 2023
3585,3585,3585,12 Jun 2023
3775,3775,3775,11 Jun 2023
3605,3605,3605,10 Jun 2023
4305,4305,4305,09 Jun 2023
3906,3906,3906,08 Jun 2023
4080,4080,4080,07 Jun 2023
4900,4900,4900,06 Jun 2023
4035,4035,4035,05 Jun 2023
3401,3401,3401,04 Jun 2023
3575,3575,3575,03 Jun 2023
3585,3585,3585,02 Jun 2023
3505,3505,3505,01 Jun 2023
4075,4075,4075,31 May 2023
4413,4413,4413,30 May 2023
3575,3575,3575,29 May 2023
4801,4801,4801,28 May 2023
3505,3505,3505,27 May 2023
3750,3750,3750,26 May 2023
4439,4439,4439,25 May 2023
4450,4450,4450,24 May 2023
3906,3906,3906,23 May 2023
4575,4575,4575,22 May 2023
4450,4450,4450,21 May 2023
4413,4413,4413,20 May 2023
4801,4801,4801,19 May 2023
4605,4605,4605,18 May 2023
4295,4295,4295,17 May 2023
3585,3585,3585,16 May 2023
4075,4075,4075,15 May 2023
5500,5500,5500,14 May 2023
4825,4825,4825,13 May 2023
4450,4450,4450,12 May 2023
3585,3585,3585,11 May 2023
4550,4550,4550,10 May 2023
4605,4605,4605,09 May 2023
3375,3375,3375,08 May 2023
4080,4080,4080,07 May 2023
4305,4305,4305,06 May 2023
4850,4850,4850,05 May 2023
3575,3575,3575,04 May 2023
4075,4075,4075,03 May 2023
3775,3775,3775,02 May 2023
4439,4439,4439,01 May 2023
4350,4350,4350,30 Apr 2023
4275,4275,4275,29 Apr 2023
3605,3605,3605,28 Apr 2023
3585,3585,3585,27 Apr 2023
4305,4305,4305,26 Apr 2023
4575,4575,4575,25 Apr 2023
4850,4850,4850,24 Apr 2023
4900,4900,4900,23 Apr 2023
4080,4080,4080,22 Apr 2023
4450,4450,4450,21 Apr 2023
4550,4550,4550,20 Apr 2023
3906,3906,3906,19 Apr 2023
3401,3401,3401,18 Apr 2023
3605,3605,3605,16 Apr 2023
4825,4825,4825,15 Apr 2023
3710,3710,3710,14 Apr 2023
3401,3401,3401,13 Apr 2023
4801,4801,4801,12 Apr 2023
4035,4035,4035,11 Apr 2023
4080,4080,4080,10 Apr 2023
4575,4575,4575,09 Apr 2023
4605,4605,4605,08 Apr 2023
4801,4801,4801,07 Apr 2023
3775,3775,3775,06 Apr 2023
4295,4295,4295,05 Apr 2023
5275,5275,5275,04 Apr 2023
3355,3355,3355,03 Apr 2023
4035,4035,4035,02 Apr 2023
3710,3710,3710,01 Apr 2023
4800,4800,4800,31 Mar 2023
4275,4275,4275,30 Mar 2023
3605,3605,3605,29 Mar 2023
3505,3505,3505,28 Mar 2023
3710,3710,3710,27 Mar 2023
4605,4605,4605,26 Mar 2023
3906,3906,3906,25 Mar 2023
3770,3770,3770,24 Mar 2023
4801,4801,4801,23 Mar 2023
3906,3906,3906,22 Mar 2023
4035,4035,4035,21 Mar 2023
3710,3710,3710,20 Mar 2023
5275,5275,5275,19 Mar 2023
4605,4605,4605,18 Mar 2023
4295,4295,4295,17 Mar 2023
4400,4400,4400,16 Mar 2023
3605,3605,3605,15 Mar 2023
5075,5075,5075,14 Mar 2023
5151,5151,5151,13 Mar 2023
4825,4825,4825,12 Mar 2023
4545,4545,4545,11 Mar 2023
3775,3775,3775,10 Mar 2023
4401,4401,4401,09 Mar 2023
4080,4080,4080,08 Mar 2023
5900,5900,5900,06 Mar 2023
3505,3505,3505,05 Mar 2023
4851,4851,4851,04 Mar 2023
5201,5201,5201,03 Mar 2023
3770,3770,3770,02 Mar 2023
3560,3560,3560,01 Mar 2023
4035,4035,4035,28 Feb 2023
4545,4545,4545,27 Feb 2023
5900,5900,5900,25 Feb 2023
4400,4400,4400,24 Feb 2023
5900,5900,5900,23 Feb 2023
3560,3560,3560,22 Feb 2023
5201,5201,5201,21 Feb 2023
4250,4250,4250,20 Feb 2023
5275,5275,5275,19 Feb 2023
4401,4401,4401,18 Feb 2023
