Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
2950,4850,3450,26 Jul 2022
3150,4780,3450,25 Jul 2022
3580,4780,4150,23 Jul 2022
2960,4850,3490,21 Jul 2022
3150,4750,3450,20 Jul 2022
3580,4950,3960,19 Jul 2022
3150,4950,3650,18 Jul 2022
3150,4950,3560,16 Jul 2022
2950,4650,3490,14 Jul 2022
3150,4950,3560,13 Jul 2022
2950,4950,3650,12 Jul 2022
2960,4750,3450,11 Jul 2022
3580,4950,3850,08 Jul 2022
2950,4950,3650,06 Jul 2022
3580,4850,3950,05 Jul 2022
2960,4950,3650,04 Jul 2022
3150,4650,3560,02 Jul 2022
3150,4850,3460,30 Jun 2022
3150,4780,3650,29 Jun 2022
3150,4950,3650,28 Jun 2022
3150,4750,3490,27 Jun 2022
3150,4850,3560,25 Jun 2022
3150,4650,3560,23 Jun 2022
3150,4850,3650,22 Jun 2022
2960,4780,3560,21 Jun 2022
2790,3850,3490,20 Jun 2022
2960,4650,3560,18 Jun 2022
3580,4850,4150,15 Jun 2022
2960,4750,3450,13 Jun 2022
2950,4750,3460,11 Jun 2022
3150,4750,3460,10 Jun 2022
3150,4750,3490,09 Jun 2022
2960,4850,3450,08 Jun 2022
2960,4780,3490,07 Jun 2022
2960,4750,3460,30 May 2022
2960,4950,3650,28 May 2022
2960,4890,3950,26 May 2022
3150,4850,3460,25 May 2022
2960,4750,3490,24 May 2022
2960,4750,3460,23 May 2022
2960,4750,3490,21 May 2022
2960,4750,3450,20 May 2022
2960,4950,3650,19 May 2022
3290,4740,3840,18 May 2022
3190,4810,3890,16 May 2022
2950,4860,3650,13 May 2022
2950,4750,3560,12 May 2022
3150,4750,3460,11 May 2022
3150,4750,3490,10 May 2022
2960,4950,3490,09 May 2022
2960,4650,3650,07 May 2022
2960,4950,3650,05 May 2022
2960,4780,3850,04 May 2022
3150,4950,3560,02 May 2022
3150,4850,3450,29 Apr 2022
2960,4750,3460,28 Apr 2022
3250,4860,3890,27 Apr 2022
3250,4960,4490,26 Apr 2022
3450,4650,3850,25 Apr 2022
3320,4810,3550,23 Apr 2022
2960,4950,3560,22 Apr 2022
2960,4750,3460,21 Apr 2022
2960,4780,3850,19 Apr 2022
2790,4850,3650,18 Apr 2022
2960,4950,3650,16 Apr 2022
3150,4650,3650,13 Apr 2022
2960,4950,3650,12 Apr 2022
3150,4780,3460,11 Apr 2022
2950,4950,3450,09 Apr 2022
3150,4950,3650,08 Apr 2022
3150,4950,3850,07 Apr 2022
2960,4850,3560,06 Apr 2022
2950,4780,3450,05 Apr 2022
2960,4950,3650,04 Apr 2022
2960,4750,3460,01 Apr 2022
2790,4850,3450,30 Mar 2022
3450,4960,3950,28 Mar 2022
3450,4650,3950,26 Mar 2022
2950,4950,3650,25 Mar 2022
2960,4650,3352,24 Mar 2022
2950,4950,3850,23 Mar 2022
3150,4780,3450,22 Mar 2022
2960,4850,3490,21 Mar 2022
3150,4780,3490,17 Mar 2022
3150,4850,3460,16 Mar 2022
3150,4650,3650,15 Mar 2022
2790,4780,3460,14 Mar 2022
3580,4950,4150,12 Mar 2022
2960,4950,3560,11 Mar 2022
3150,4780,3460,09 Mar 2022
3150,4950,3650,08 Mar 2022
3580,4950,3850,07 Mar 2022
3150,4850,3490,05 Mar 2022
3190,4935,3950,04 Mar 2022
2960,4650,3650,03 Mar 2022
2950,4780,3850,02 Mar 2022
3480,4960,3850,26 Feb 2022
3150,4950,3490,23 Feb 2022
2960,4780,3490,22 Feb 2022
2950,4780,3850,21 Feb 2022
2960,4650,3650,19 Feb 2022
2950,4950,3650,18 Feb 2022
3150,4850,3560,17 Feb 2022
2950,4850,3560,15 Feb 2022
3150,4750,3490,14 Feb 2022
3580,4950,4210,12 Feb 2022
3150,4950,3850,10 Feb 2022
2960,4920,3560,09 Feb 2022
3150,4950,3560,08 Feb 2022
3150,4950,3650,07 Feb 2022
3150,4750,3460,05 Feb 2022
2690,4950,3650,04 Feb 2022
2960,3850,3560,03 Feb 2022
3150,4750,3460,02 Feb 2022
3150,4950,3450,01 Feb 2022
2950,4650,3650,29 Jan 2022
2960,4780,3560,28 Jan 2022
2790,4650,3360,27 Jan 2022
3580,4950,3950,25 Jan 2022
2950,4410,3950,24 Jan 2022
2790,4950,3850,22 Jan 2022
2960,3850,3490,21 Jan 2022
2950,4650,3450,20 Jan 2022
2790,4950,3850,19 Jan 2022
2950,4650,3460,18 Jan 2022
2960,4750,3650,17 Jan 2022
2950,4780,3560,14 Jan 2022
3560,4960,3960,12 Jan 2022
3580,4860,4150,11 Jan 2022
2960,4850,3650,10 Jan 2022
2950,4850,3450,08 Jan 2022
2790,4780,3850,07 Jan 2022
2950,4950,3490,05 Jan 2022
3050,4780,3850,04 Jan 2022
2950,4850,3860,03 Jan 2022
2950,4650,3360,01 Jan 2022
2590,4750,3850,31 Dec 2021
2960,4650,3650,30 Dec 2021
3190,4680,3890,29 Dec 2021
2960,4650,3850,28 Dec 2021
3160,4850,3860,27 Dec 2021
3150,4890,3680,24 Dec 2021
3260,4890,3860,23 Dec 2021
2960,4650,3450,21 Dec 2021
2950,4650,3950,20 Dec 2021
3050,4950,3650,17 Dec 2021
2850,3860,3650,16 Dec 2021
3580,4950,4050,15 Dec 2021
2960,3950,3650,14 Dec 2021
2950,4780,3460,13 Dec 2021
2690,4520,3490,11 Dec 2021
2950,4690,3450,10 Dec 2021
3150,4850,3650,09 Dec 2021
2790,4650,3340,07 Dec 2021
2960,4610,3850,06 Dec 2021
3150,4850,3860,04 Dec 2021
2980,4650,3410,03 Dec 2021
2950,4650,3490,02 Dec 2021
3150,4650,3460,01 Dec 2021
2760,4690,3450,29 Nov 2021
2950,4525,3450,28 Nov 2021
2890,4720,3520,24 Nov 2021
2790,4650,3450,23 Nov 2021
2950,4540,3540,22 Nov 2021
2950,4850,3560,19 Nov 2021
2960,4750,3590,17 Nov 2021
2790,4650,3460,13 Nov 2021
3450,4850,3950,12 Nov 2021
2650,4690,3560,10 Nov 2021
2790,4650,3490,09 Nov 2021
3450,4960,4010,08 Nov 2021
2780,4610,3650,02 Nov 2021
2790,4650,3450,01 Nov 2021
3050,4980,3650,30 Oct 2021
2960,4680,3450,29 Oct 2021
3105,4680,3850,28 Oct 2021
3050,4650,3650,27 Oct 2021
2940,4850,3650,26 Oct 2021
2790,4610,3560,25 Oct 2021
2940,4160,3320,23 Oct 2021
3150,4950,3490,22 Oct 2021
2790,4610,3410,21 Oct 2021
2760,4610,3510,20 Oct 2021
2940,4610,3640,19 Oct 2021
2980,4610,3610,18 Oct 2021
3180,4710,3860,16 Oct 2021
3160,4610,3590,12 Oct 2021
2780,4650,3560,11 Oct 2021
2790,4690,3450,09 Oct 2021
2960,4610,3450,08 Oct 2021
2650,4950,3590,07 Oct 2021
2950,4610,3840,05 Oct 2021
2790,4610,3410,04 Oct 2021
3190,4710,3640,29 Sep 2021
2960,4350,3450,28 Sep 2021
2790,4610,3450,27 Sep 2021
2790,4610,3410,24 Sep 2021
2780,4650,3410,23 Sep 2021
3150,4610,3850,22 Sep 2021
2950,4740,3650,20 Sep 2021
2790,4610,3450,18 Sep 2021
2390,4750,3460,17 Sep 2021
3180,4920,3840,16 Sep 2021
2980,4710,3460,15 Sep 2021
2960,4610,3460,13 Sep 2021
3160,4710,3950,11 Sep 2021
2950,4950,3260,08 Sep 2021
2890,4850,3690,07 Sep 2021
3150,4950,4310,06 Sep 2021
2690,4710,3490,03 Sep 2021
2740,4710,3810,01 Sep 2021
2790,4690,3460,30 Aug 2021
2980,4610,3750,25 Aug 2021
2790,4680,3490,24 Aug 2021
2690,4710,3460,23 Aug 2021
2780,4510,3460,22 Aug 2021
2690,4680,3490,20 Aug 2021
3560,3560,3560,19 Aug 2021
2790,4900,3460,18 Aug 2021
2640,4980,3780,17 Aug 2021
2790,4610,3460,16 Aug 2021
3150,3150,3150,14 Aug 2021
3650,3650,3650,13 Aug 2021
3190,4960,3410,12 Aug 2021
2890,4910,3460,11 Aug 2021
2940,4650,3950,10 Aug 2021
3650,4900,4100,09 Aug 2021
3010,4860,3810,07 Aug 2021
2690,4610,3500,06 Aug 2021
3460,3460,3460,05 Aug 2021
2790,4680,3460,04 Aug 2021
3050,4960,3460,03 Aug 2021
2790,4760,3460,02 Aug 2021
2780,4610,3610,01 Aug 2021
2980,4930,3920,31 Jul 2021
2760,4650,3610,30 Jul 2021
2960,4650,3490,29 Jul 2021
3015,4690,3610,28 Jul 2021
3260,3260,3260,27 Jul 2021
2980,4690,3450,26 Jul 2021
3900,3900,3900,24 Jul 2021
2750,4320,3460,23 Jul 2021
2960,4820,3590,21 Jul 2021
2760,4510,3450,20 Jul 2021
2980,4850,3620,19 Jul 2021
2980,4690,3590,18 Jul 2021
2780,4390,3455,17 Jul 2021
2790,4610,3640,16 Jul 2021
3490,3490,3490,15 Jul 2021
2960,4945,3510,14 Jul 2021
2690,4680,3480,13 Jul 2021
2650,4980,3460,12 Jul 2021
3560,3560,3560,10 Jul 2021
2690,4960,3460,09 Jul 2021
2650,4950,3610,08 Jul 2021
2690,4750,3460,07 Jul 2021
2650,4760,3290,06 Jul 2021
2790,4690,3460,03 Jul 2021
2690,4950,3580,02 Jul 2021
2650,4690,3260,01 Jul 2021
2690,4750,3350,30 Jun 2021
2690,4955,3460,29 Jun 2021
2980,4690,3460,28 Jun 2021
3190,4790,3860,27 Jun 2021
3150,4980,3860,26 Jun 2021
2390,4950,3690,25 Jun 2021
3690,3690,3690,23 Jun 2021
2490,4130,3290,22 Jun 2021
2690,4360,3210,21 Jun 2021
3490,3490,3490,19 Jun 2021
2690,4185,3260,17 Jun 2021
2490,4190,3280,16 Jun 2021
2650,4790,3640,15 Jun 2021
2960,4760,3590,14 Jun 2021
2960,4680,3490,13 Jun 2021
2750,4610,3650,12 Jun 2021
3560,3560,3560,11 Jun 2021
3350,3350,3350,10 Jun 2021
3650,3650,3650,09 Jun 2021
2950,4360,3450,08 Jun 2021
3360,3360,3360,07 Jun 2021
2790,4610,3460,06 Jun 2021
2790,4690,3460,05 Jun 2021
3560,3560,3560,04 Jun 2021
2680,4680,3460,03 Jun 2021
2890,4820,3650,02 Jun 2021
2940,2940,2940,01 Jun 2021
2490,4160,3350,31 May 2021
3490,3490,3490,29 May 2021
2950,4760,3650,28 May 2021
3480,3480,3480,27 May 2021
3190,3190,3190,26 May 2021
3480,3480,3480,25 May 2021
2770,4690,3450,24 May 2021
3190,3190,3190,23 May 2021
3190,3190,3190,22 May 2021
3190,3190,3190,21 May 2021
3190,4750,3850,20 May 2021
2950,4680,3490,19 May 2021
2950,4750,3450,17 May 2021
2690,4690,3480,15 May 2021
3190,3190,3190,14 May 2021
3190,3190,3190,13 May 2021
2690,4690,3450,12 May 2021
2770,4750,3480,11 May 2021
2690,4680,3190,10 May 2021
2770,4690,3260,09 May 2021
2950,4750,3450,08 May 2021
3190,4680,3850,07 May 2021
