Unnamed: 0,Date,Centre_Name,Price
19992,08-06-11,MUMBAI,1775.0
19993,08-06-11,NAGPUR,1550.0
20041,09-06-11,MUMBAI,1775.0
20042,09-06-11,NAGPUR,1550.0
20090,10-06-11,MUMBAI,1775.0
20091,10-06-11,NAGPUR,1550.0
20139,13-06-11,MUMBAI,1775.0
20140,13-06-11,NAGPUR,1550.0
20188,14-06-11,MUMBAI,1800.0
20189,14-06-11,NAGPUR,1550.0
20237,15-06-11,MUMBAI,1800.0
20238,15-06-11,NAGPUR,1550.0
20286,16-06-11,MUMBAI,1800.0
20287,16-06-11,NAGPUR,1550.0
20335,17-06-11,MUMBAI,1800.0
20336,17-06-11,NAGPUR,1550.0
20384,20-06-11,MUMBAI,1800.0
20385,20-06-11,NAGPUR,1550.0
20433,21-06-11,MUMBAI,1800.0
20434,21-06-11,NAGPUR,1550.0
20482,22-06-11,MUMBAI,1800.0
20483,22-06-11,NAGPUR,1550.0
20531,23-06-11,MUMBAI,1750.0
20532,23-06-11,NAGPUR,1550.0
20580,24-06-11,MUMBAI,1750.0
20581,24-06-11,NAGPUR,1550.0
20629,27-06-11,MUMBAI,1750.0
20630,27-06-11,NAGPUR,1550.0
20678,28-06-11,MUMBAI,1750.0
20679,28-06-11,NAGPUR,1700.0
20727,29-06-11,MUMBAI,1825.0
20728,29-06-11,NAGPUR,1700.0
20776,30-06-11,MUMBAI,1825.0
20777,30-06-11,NAGPUR,1650.0
20825,01-07-11,MUMBAI,1825.0
20826,01-07-11,NAGPUR,1650.0
20874,04-07-11,MUMBAI,1825.0
20875,04-07-11,NAGPUR,1650.0
20923,05-07-11,MUMBAI,1850.0
20924,05-07-11,NAGPUR,1700.0
20972,06-07-11,MUMBAI,1710.0
20973,06-07-11,NAGPUR,1700.0
21021,07-07-11,MUMBAI,1750.0
21022,07-07-11,NAGPUR,1700.0
21070,08-07-11,MUMBAI,1750.0
21071,08-07-11,NAGPUR,1700.0
21119,11-07-11,MUMBAI,1750.0
21120,11-07-11,NAGPUR,1700.0
21168,12-07-11,MUMBAI,1750.0
21169,12-07-11,NAGPUR,1700.0
21217,13-07-11,MUMBAI,1750.0
21218,13-07-11,NAGPUR,1700.0
21266,14-07-11,MUMBAI,1750.0
21267,14-07-11,NAGPUR,1700.0
21315,15-07-11,MUMBAI,1750.0
21316,15-07-11,NAGPUR,1700.0
21364,18-07-11,MUMBAI,1788.0
21365,18-07-11,NAGPUR,1750.0
21413,19-07-11,MUMBAI,1788.0
21414,19-07-11,NAGPUR,1650.0
21462,20-07-11,MUMBAI,1900.0
21463,20-07-11,NAGPUR,1650.0
21511,21-07-11,MUMBAI,1900.0
21512,21-07-11,NAGPUR,1675.0
21560,22-07-11,MUMBAI,1900.0
21561,22-07-11,NAGPUR,1650.0
21609,25-07-11,MUMBAI,1850.0
21610,25-07-11,NAGPUR,1600.0
21658,26-07-11,MUMBAI,1850.0
21659,26-07-11,NAGPUR,1600.0
21707,27-07-11,MUMBAI,1850.0
21708,27-07-11,NAGPUR,1650.0
21756,28-07-11,MUMBAI,1775.0
21757,28-07-11,NAGPUR,1650.0
21805,29-07-11,MUMBAI,1775.0
21806,29-07-11,NAGPUR,1650.0
21854,01-08-11,MUMBAI,1775.0
21855,01-08-11,NAGPUR,1750.0
21903,02-08-11,MUMBAI,1775.0
21904,02-08-11,NAGPUR,1750.0
21952,03-08-11,MUMBAI,1775.0
21953,03-08-11,NAGPUR,1750.0
22001,04-08-11,MUMBAI,1775.0
22002,04-08-11,NAGPUR,1750.0
22050,05-08-11,MUMBAI,1775.0
22051,05-08-11,NAGPUR,1750.0
22099,08-08-11,MUMBAI,1775.0
22100,08-08-11,NAGPUR,1900.0
22148,09-08-11,MUMBAI,1775.0
22149,09-08-11,NAGPUR,1900.0
22197,10-08-11,MUMBAI,1775.0
22198,10-08-11,NAGPUR,1850.0
22246,11-08-11,MUMBAI,1725.0
22247,11-08-11,NAGPUR,1867.0
22295,12-08-11,MUMBAI,1725.0
22296,12-08-11,NAGPUR,1867.0
22344,16-08-11,MUMBAI,1725.0
22345,16-08-11,NAGPUR,1700.0
22393,17-08-11,MUMBAI,1725.0
22394,17-08-11,NAGPUR,1700.0
22442,18-08-11,MUMBAI,1725.0
22443,18-08-11,NAGPUR,1700.0
22491,19-08-11,MUMBAI,1725.0
22492,19-08-11,NAGPUR,1700.0
22540,23-08-11,MUMBAI,1850.0
22541,23-08-11,NAGPUR,1700.0
22589,24-08-11,MUMBAI,1850.0
22590,24-08-11,NAGPUR,1700.0
22638,25-08-11,MUMBAI,1850.0
22639,25-08-11,NAGPUR,1700.0
22687,26-08-11,MUMBAI,1850.0
22688,26-08-11,NAGPUR,1717.0
22736,29-08-11,MUMBAI,1850.0
22737,29-08-11,NAGPUR,1717.0
22785,30-08-11,MUMBAI,1850.0
22786,30-08-11,NAGPUR,1700.0
22834,01-09-11,MUMBAI,1850.0
22835,01-09-11,NAGPUR,1700.0
22883,02-09-11,MUMBAI,1850.0
22884,02-09-11,NAGPUR,1700.0
22932,05-09-11,MUMBAI,1850.0
22933,05-09-11,NAGPUR,1700.0
22981,06-09-11,MUMBAI,1850.0
22982,06-09-11,NAGPUR,1700.0
23030,07-09-11,MUMBAI,1825.0
23031,07-09-11,NAGPUR,1700.0
23079,08-09-11,MUMBAI,1825.0
23080,08-09-11,NAGPUR,1700.0
23128,09-09-11,MUMBAI,1800.0
23129,09-09-11,NAGPUR,1700.0
23177,12-09-11,MUMBAI,1800.0
23178,12-09-11,NAGPUR,1700.0
23226,13-09-11,MUMBAI,1850.0
23227,13-09-11,NAGPUR,1900.0
23275,14-09-11,MUMBAI,1825.0
23276,14-09-11,NAGPUR,1900.0
23324,15-09-11,MUMBAI,1825.0
23325,15-09-11,NAGPUR,1900.0
23373,16-09-11,MUMBAI,1800.0
23374,16-09-11,NAGPUR,1900.0
23422,19-09-11,MUMBAI,1725.0
23423,19-09-11,NAGPUR,1900.0
23471,20-09-11,MUMBAI,1725.0
23472,20-09-11,NAGPUR,1850.0
23520,21-09-11,MUMBAI,1725.0
23521,21-09-11,NAGPUR,1850.0
23569,22-09-11,MUMBAI,1725.0
23570,22-09-11,NAGPUR,1850.0
23618,23-09-11,MUMBAI,1825.0
23619,23-09-11,NAGPUR,1850.0
23667,26-09-11,MUMBAI,1925.0
23668,26-09-11,NAGPUR,1850.0
23716,27-09-11,MUMBAI,1775.0
23717,27-09-11,NAGPUR,1850.0
23765,28-09-11,MUMBAI,1775.0
23766,28-09-11,NAGPUR,1650.0
23814,29-09-11,MUMBAI,1775.0
23815,29-09-11,NAGPUR,1650.0
23863,30-09-11,MUMBAI,1775.0
23864,30-09-11,NAGPUR,1650.0
23912,03-10-11,MUMBAI,1775.0
23913,03-10-11,NAGPUR,1650.0
23961,04-10-11,MUMBAI,1775.0
23962,04-10-11,NAGPUR,1700.0
24010,05-10-11,MUMBAI,1775.0
24011,05-10-11,NAGPUR,1700.0
